n,k,policy,success_rate,mean_expansions_all,mean_expansions_success,mean_expansions_failure,mean_seconds
5,14,moe_top3,1.0,17.9,17.9,,0.0054435000056400895
5,14,moe_all,0.6,21.7,19.5,25.0,0.007364169985521585
6,3,expert_wide_small,1.0,14.3,14.3,,0.0003583099925890565
6,3,expert_wide_large,1.0,11.3,11.3,,0.0002960000070743263
6,3,expert_tall_small,1.0,8.7,8.7,,0.00020928002195432782
6,3,expert_tall_large,1.0,11.5,11.5,,0.00028333000373095276
6,3,expert_balanced_small,1.0,16.5,16.5,,0.0004051400232128799
6,3,expert_balanced_large,1.0,8.4,8.4,,0.00021527999779209496
6,3,moe_sparse_top1,1.0,12.3,12.3,,0.002937020012177527
6,3,moe_top2,1.0,14.6,14.6,,0.003965980035718531
6,3,moe_top3,1.0,14.2,14.2,,0.0038347799913026393
6,3,moe_all,1.0,14.2,14.2,,0.004918269999325276
6,4,expert_wide_small,1.0,13.1,13.1,,0.00031764000887051224
6,4,expert_wide_large,1.0,12.6,12.6,,0.00031392000382766125
6,4,expert_tall_small,1.0,12.5,12.5,,0.0003113999962806702
6,4,expert_tall_large,1.0,14.7,14.7,,0.00034469998208805917
6,4,expert_balanced_small,1.0,15.3,15.3,,0.0003639500122517347
6,4,expert_balanced_large,1.0,7.0,7.0,,0.00018228002591058612
6,4,moe_sparse_top1,1.0,7.0,7.0,,0.0015913500101305544
6,4,moe_top2,1.0,7.5,7.5,,0.001866029982920736
6,4,moe_top3,1.0,9.4,9.4,,0.0024092099978588522
6,4,moe_all,1.0,12.1,12.1,,0.0036925900145433842
6,5,expert_wide_small,1.0,16.0,16.0,,0.00040092000272125007
6,5,expert_wide_large,0.8,18.4,16.75,25.0,0.00044012998696416614
6,5,expert_tall_small,1.0,13.5,13.5,,0.0003142399829812348
